Casa;Fora;PlacarCasa;PlacarFora;PartidasCasa;PartidasFora;PartidasEmCasa;PartidasEmFora;TotalCasa;TotalProCasa;TotalContraCasa;TotalEmCasa;TotalProEmCasa;TotalContraEmCasa;TotalFora;TotalProFora;TotalContraFora;TotalEmFora;TotalProEmFora;TotalContraEmFora;Total15Casa;Total15EmCasa;Total25Casa;Total25EmCasa;Total15Fora;Total15EmFora;Total25Fora;Total25EmFora;
CSA;Sport Recife;1;0;3;4;1;2;4;1;3;2;1;1;4;3;1;2;0;2;5;5;0;0;2;0;0;0
Gremio;CRB;2;0;4;3;2;1;6;4;2;5;3;2;6;2;4;1;1;0;1;1;1;1;2;0;1;0
Sampaio Correa;Operario PR;1;1;4;4;2;2;8;4;4;6;4;2;7;3;4;2;0;2;2;2;1;1;4;0;0;0
Chapecoense;Cruzeiro;0;2;4;4;2;2;6;5;1;2;1;1;6;3;3;4;4;0;5;5;2;2;4;0;0;0
Ponte Preta;Brusque;2;0;4;4;2;2;4;1;3;1;1;0;8;4;4;3;0;3;4;4;0;0;4;0;2;0
Criciuma;Novorizontino;1;1;3;3;2;2;4;2;2;3;2;1;5;1;4;1;0;1;1;1;0;0;4;0;1;0
Tombense;Vasco da Gama;1;1;4;4;2;2;8;4;4;4;2;2;5;3;2;4;2;2;6;6;0;0;2;0;0;0
Bahia;Londrina;4;0;5;5;2;2;7;5;2;3;3;0;10;5;5;4;2;2;2;2;0;0;3;0;1;0
Nautico;Guarani;1;1;4;4;2;2;8;4;4;3;2;1;6;2;4;5;2;3;3;3;2;2;2;0;2;0
Novorizontino;CRB;3;1;4;4;1;2;7;2;5;3;0;3;8;2;6;4;2;2;3;3;1;1;3;0;1;0
CSA;Criciuma;1;1;4;4;2;1;5;2;3;3;2;1;6;3;3;2;0;2;5;5;0;0;2;0;0;0
Brusque;Chapecoense;0;0;5;5;2;2;10;4;6;3;3;0;8;5;3;7;1;6;6;6;2;2;6;0;2;0
Vila Nova;Nautico;2;0;5;5;2;2;12;5;7;2;1;1;10;5;5;10;4;6;4;4;2;2;4;0;2;0
Sport Recife;Tombense;2;0;5;5;2;2;5;3;2;2;2;0;10;5;5;3;1;2;2;2;0;0;7;0;0;0
Operario PR;Criciuma;2;0;5;5;2;2;9;4;5;3;2;1;8;4;4;6;2;4;4;4;0;0;7;0;0;0
Novorizontino;Ituano;2;1;5;5;2;2;11;5;6;7;3;4;8;5;3;4;2;2;4;4;2;2;3;0;1;0
Vasco da Gama;CSA;1;0;5;5;2;2;7;4;3;3;2;1;7;3;4;4;2;2;8;8;0;0;6;0;0;0
Cruzeiro;Gremio;1;0;5;5;2;2;8;5;3;2;2;0;8;6;2;6;3;3;7;7;0;0;2;0;1;0
Guarani;Ponte Preta;0;0;5;5;2;2;8;3;5;1;1;0;6;3;3;7;2;5;5;5;2;2;5;0;0;0
CRB;Sampaio Correa;2;1;5;5;2;2;12;3;9;5;2;3;10;5;5;7;1;6;5;5;3;3;3;0;1;0
Ponte Preta;Novorizontino;0;1;6;6;3;3;6;3;3;3;3;0;14;7;7;3;0;3;5;5;0;0;5;0;3;0
Chapecoense;Sport Recife;0;1;6;6;3;3;8;5;3;4;1;3;7;5;2;4;4;0;6;6;2;2;3;0;0;0
Criciuma;CRB;3;0;6;6;3;3;10;4;6;5;3;2;15;5;10;5;1;4;6;6;0;0;6;0;4;0
Londrina;Brusque;2;1;6;6;3;3;14;5;9;8;5;3;10;4;6;6;0;6;4;4;2;2;6;0;2;0
Tombense;Guarani;1;1;6;6;3;3;12;5;7;6;3;3;8;3;5;6;2;4;4;4;0;0;5;0;2;0
Sampaio Correa;Vila Nova;2;0;6;6;3;3;13;6;7;8;5;3;14;7;7;5;1;4;7;7;5;5;5;0;2;0
CSA;Operario PR;0;0;6;6;3;3;8;3;5;5;3;2;11;6;5;3;0;3;6;6;0;0;5;0;0;0
Nautico;Cruzeiro;0;1;6;6;3;3;12;5;7;5;3;2;9;6;3;7;2;5;6;6;2;2;7;0;0;0
